,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,SMA,Signal
2342,2024-03-21,39.89239747380824,175.84762280073667,190.82127905464293,39.89239747380824,39.89239747380824,3.6015804959801487,3.6015804959801487,3.6015804959801487,3.9138599999951715,3.9138599999951715,3.9138599999951715,-0.3122795040150225,-0.3122795040150225,-0.3122795040150225,0.0,0.0,0.0,183.56807815336376,181.21571723387893,1
2343,2024-03-22,39.91291163922291,176.2313744779907,192.17192627854666,39.91291163922291,39.91291163922291,3.611534115790535,3.611534115790535,3.611534115790535,3.9142085819660055,3.9142085819660055,3.9142085819660055,-0.30267446617547045,-0.30267446617547045,-0.30267446617547045,0.0,0.0,0.0,184.05975368480958,181.69236453772743,1
2344,2024-03-25,39.97445413546698,177.49253381921343,192.8146189823452,39.97445413546698,39.97445413546698,3.641926857169932,3.641926857169932,3.641926857169932,3.918640805427523,3.918640805427523,3.918640805427523,-0.2767139482575906,-0.2767139482575906,-0.2767139482575906,0.0,0.0,0.0,185.55849225213183,182.27277884253368,1
2345,2024-03-26,39.994968300881666,178.02802451380342,193.61008369624292,39.994968300881666,39.994968300881666,3.647211254904262,3.647211254904262,3.647211254904262,3.916646267918154,3.916646267918154,3.916646267918154,-0.2694350130138921,-0.2694350130138921,-0.2694350130138921,0.0,0.0,0.0,185.86506682739645,182.86919595576833,1
2346,2024-03-27,40.01548246629635,178.910756736639,194.81355596667404,40.01548246629635,40.01548246629635,3.654235810613283,3.654235810613283,3.654235810613283,3.9172374749587604,3.9172374749587604,3.9172374749587604,-0.26300166434547717,-0.26300166434547717,-0.26300166434547717,0.0,0.0,0.0,186.24149147360438,183.47261288097278,1
2347,2024-03-28,40.035996631711036,178.34483137610212,193.90702111621962,40.035996631711036,40.035996631711036,3.6563857827040795,3.6563857827040795,3.6563857827040795,3.913860000004579,3.913860000004579,3.913860000004579,-0.25747421730049996,-0.25747421730049996,-0.25747421730049996,0.0,0.0,0.0,186.42304551228767,184.07419935274055,1
2348,2024-04-01,40.118053293369776,179.72873691689267,195.1867662539032,40.118053293369776,40.118053293369776,3.6738415689376627,3.6738415689376627,3.6738415689376627,3.9186408054272075,3.9186408054272075,3.9186408054272075,-0.24479923648954532,-0.24479923648954532,-0.24479923648954532,0.0,0.0,0.0,187.50542514740815,184.7447903444907,1
2349,2024-04-02,40.13856745878447,179.24948357016265,195.45198675705157,40.13856745878447,40.13856745878447,3.672761326818107,3.672761326818107,3.672761326818107,3.9166462679233263,3.9166462679233263,3.9166462679233263,-0.24388494110521933,-0.24388494110521933,-0.24388494110521933,0.0,0.0,0.0,187.55794573528783,185.27017487220058,1
2350,2024-04-03,40.159081624199146,180.248257316923,195.48227589446478,40.159081624199146,40.159081624199146,3.6734781008638304,3.6734781008638304,3.6734781008638304,3.9172374749587715,3.9172374749587715,3.9172374749587715,-0.24375937409494114,-0.24375937409494114,-0.24375937409494114,0.0,0.0,0.0,187.68258852149776,185.76785722307525,1
2351,2024-04-04,40.17959578961384,179.8549514887402,195.7286515836552,40.17959578961384,40.17959578961384,3.669523879132516,3.669523879132516,3.669523879132516,3.913860000002969,3.913860000002969,3.913860000002969,-0.2443361208704529,-0.2443361208704529,-0.2443361208704529,0.0,0.0,0.0,187.61958199349414,186.20814693012815,1
2352,2024-04-05,40.200109955028516,180.73143127709463,195.55053811735053,40.200109955028516,40.200109955028516,3.6686927407898757,3.6686927407898757,3.6686927407898757,3.9142085819872428,3.9142085819872428,3.9142085819872428,-0.2455158411973666,-0.2455158411973666,-0.2455158411973666,0.0,0.0,0.0,187.68196152599646,186.61953526739143,1
2353,2024-04-08,40.26165245127258,180.37823814949186,195.55659016485131,40.26165245127258,40.26165245127258,3.6670917030239103,3.6670917030239103,3.6670917030239103,3.918640805446725,3.918640805446725,3.918640805446725,-0.251549102422815,-0.251549102422815,-0.251549102422815,0.0,0.0,0.0,187.90482410536654,187.00404230944713,1
2354,2024-04-09,40.28216661668727,180.42845251217824,195.40881774974568,40.28216661668727,40.28216661668727,3.6626506008327473,3.6626506008327473,3.6626506008327473,3.916646267919428,3.916646267919428,3.916646267919428,-0.253995667086681,-0.253995667086681,-0.253995667086681,0.0,0.0,0.0,187.82166837814174,187.2303599220481,1
2355,2024-04-10,40.30268078210195,179.82139511526753,195.8471524448111,40.30268078210195,40.30268078210195,3.6607750379263617,3.6607750379263617,3.6607750379263617,3.917237474958764,3.917237474958764,3.917237474958764,-0.2564624370324023,-0.2564624370324023,-0.2564624370324023,0.0,0.0,0.0,187.84172855073527,187.428026094382,1
2356,2024-04-11,40.32319494751664,179.96182715626648,195.91120745947566,40.32319494751664,40.32319494751664,3.6550225068173314,3.6550225068173314,3.6550225068173314,3.913860000001358,3.913860000001358,3.913860000001358,-0.2588374931840269,-0.2588374931840269,-0.2588374931840269,0.0,0.0,0.0,187.70538002747287,187.57441494976882,1
2357,2024-04-12,40.34370911293132,179.19594799308115,195.40671061847974,40.34370911293132,40.34370911293132,3.653191396100007,3.653191396100007,3.653191396100007,3.9142085819776407,3.9142085819776407,3.9142085819776407,-0.26101718587763373,-0.26101718587763373,-0.26101718587763373,0.0,0.0,0.0,187.7270001310535,187.7048104116454,1
2358,2024-04-15,40.405251609175366,180.00495752504003,195.8602727745149,40.405251609175366,40.405251609175366,3.6531215882079833,3.6531215882079833,3.6531215882079833,3.91864080544641,3.91864080544641,3.91864080544641,-0.2655192172384265,-0.2655192172384265,-0.2655192172384265,0.0,0.0,0.0,188.01054853962924,187.75532275086752,1
